*************************
Information of currently running processes. 
*************************
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 19188, 'username': None, 'name': 'svchost.exe', 'vms': 12.12109375}
{'pid': 19256, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'FileCoAuth.exe', 'vms': 13.05078125}
{'pid': 19552, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'chrome.exe', 'vms': 71.6171875}
{'pid': 19608, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'chrome.exe', 'vms': 157.52734375}
{'pid': 19628, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'ShellExperienceHost.exe', 'vms': 98.734375}
{'pid': 19820, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'unsecapp.exe', 'vms': 2.296875}
{'pid': 19832, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'chrome.exe', 'vms': 378.41796875}
{'pid': 20088, 'username': None, 'name': 'svchost.exe', 'vms': 8.83984375}
{'pid': 20120, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'RuntimeBroker.exe', 'vms': 6.24609375}
{'pid': 20252, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'Code.exe', 'vms': 88.8828125}
{'pid': 20312, 'username': None, 'name': 'svchost.exe', 'vms': 5.03515625}
{'pid': 20328, 'username': None, 'name': 'svchost.exe', 'vms': 3.84375}
{'pid': 20452, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'Code.exe', 'vms': 706.66796875}
{'pid': 20476, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'conhost.exe', 'vms': 1.3828125}
{'pid': 20528, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'conhost.exe', 'vms': 1.14453125}
{'pid': 20572, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'Copilot.exe', 'vms': 382.2421875}
{'pid': 20808, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'ONENOTEM.EXE', 'vms': 3.08203125}
{'pid': 20836, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'jusched.exe', 'vms': 2.4765625}
{'pid': 20936, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'msedgewebview2.exe', 'vms': 41.8359375}
{'pid': 21228, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'DataExchangeHost.exe', 'vms': 27.5546875}
